🕘️更新时间,#genre#
2025-08-21 18:41:52,http://php.cqshushu.ggff.net/jzb.php?id=cctv1&公众号【医工学习日志】$订阅源

📺央视频道,#genre#
CCTV-1,http://php.cqshushu.ggff.net/jzb.php?id=cctv1&公众号【医工学习日志】$订阅源
CCTV-1,http://qjrhc.jydjd.top:2911/udp/224.1.100.89:11111$订阅源
CCTV-1,http://58.221.214.82:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://59.39.89.130:60901/tsfile/live/0001_1.m3u8$订阅源
CCTV-2,http://36.32.174.67:60080/newlive/live/hls/2/live.m3u8$订阅源
CCTV-2,http://ms.fxim.net:808/hls/2/index.m3u8$订阅源
CCTV-2,http://120.238.94.10:9901/tsfile/live/1019_1.m3u8$订阅源
CCTV-2,http://112.123.206.32:808/hls/2/index.m3u8$订阅源
CCTV-2,http://58.19.43.46:9901/tsfile/live/1021_1.m3u8$订阅源
CCTV-2,http://221.226.51.220:50081/newlive/live/hls/2/live.m3u8$订阅源
CCTV-2,http://qjrhc.jydjd.top:2911/udp/224.1.100.93:11111$订阅源
CCTV-2,http://58.221.214.82:9901/tsfile/live/0002_1.m3u8$订阅源
CCTV-3,http://php.cqshushu.ggff.net/jzb.php?id=cctv3&公众号【医工学习日志】$订阅源
CCTV-3,http://111.43.126.240:9003/hls/15/index.m3u8$订阅源
CCTV-3,http://ms.fxim.net:808/hls/3/index.m3u8$订阅源
CCTV-3,http://125.42.151.98:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://124.116.183.146:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://120.238.94.10:9901/tsfile/live/1020_1.m3u8$订阅源
CCTV-3,http://qjrhc.jydjd.top:2911/udp/224.1.100.63:11111$订阅源
CCTV-3,http://58.221.214.82:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV-4,http://php.cqshushu.ggff.net/jzb.php?id=cctv5&公众号【医工学习日志】$订阅源
CCTV-4,http://112.99.193.34:9901/tsfile/live/1036_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$订阅源
CCTV-4,http://36.32.174.67:60080/newlive/live/hls/4/live.m3u8$订阅源
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8$订阅源
CCTV-4,http://223.241.247.214:9901/tsfile/live/0004_1.m3u8$订阅源
CCTV-4,http://124.116.183.146:9901/tsfile/live/0004_1.m3u8$订阅源
CCTV-4,http://120.238.94.10:9901/tsfile/live/1021_1.m3u8$订阅源
CCTV-4,http://58.19.43.46:9901/tsfile/live/1023_1.m3u8$订阅源
CCTV-5,https://ldcctvwbcdtxy.liveplay.myqcloud.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?b=200-2100$订阅源
CCTV-5,https://ldcctvwbcdbd.a.bdydns.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?BR=td$订阅源
CCTV-5,http://omnix.cn:4000/udp/225.1.8.89:8000$订阅源
CCTV-5,http://111.43.126.240:9003/hls/17/index.m3u8$订阅源
CCTV-5,http://223.241.247.214:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5,http://ms.fxim.net:808/hls/5/index.m3u8$订阅源
CCTV-5,http://124.116.183.146:9901/tsfile/live/0005_1.m3u8$订阅源
CCTV-5,http://120.238.94.10:9901/tsfile/live/1022_1.m3u8$订阅源
CCTV-5+,http://111.43.126.240:9003/hls/18/index.m3u8$订阅源
CCTV-5+,http://120.238.94.10:9901/tsfile/live/1023_1.m3u8$订阅源
CCTV-5+,http://qjrhc.jydjd.top:2911/udp/224.1.100.26:11111$订阅源
CCTV-5+,http://58.221.214.82:9901/tsfile/live/0016_1.m3u8$订阅源
CCTV-5+,http://123.129.70.178:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5+,http://116.128.242.83:9901/tsfile/live/0005_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$订阅源
CCTV-5+,http://123.130.84.106:8154/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5+,http://61.136.172.236:9901/tsfile/live/0016_1.m3u8$订阅源
CCTV-6,http://zzssw01.55555.io:9901/tsfile/live/0006_1.m3u8$订阅源
CCTV-6,http://php.cqshushu.ggff.net/jzb.php?id=cctv6&公众号【医工学习日志】$订阅源
CCTV-6,http://223.241.247.214:9901/tsfile/live/0006_1.m3u8$订阅源
CCTV-6,http://ms.fxim.net:808/hls/6/index.m3u8$订阅源
CCTV-6,http://183.237.95.108:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-6,http://124.116.183.146:9901/tsfile/live/0006_1.m3u8$订阅源
CCTV-6,http://58.19.43.46:9901/tsfile/live/1025_1.m3u8$订阅源
CCTV-6,http://ak6668768.zicp.io:8805/live1006.m3u8$订阅源
CCTV-7,http://live.junhao.mil.cn/rmt9502/3e6e7c5477314ec38f5e58e2a5c70024.m3u8?txSecret=57978fafb9c19880afa5c8687e8241d8&txTime=7A42BAFF$订阅源
CCTV-7,http://php.cqshushu.ggff.net/jzb.php?id=cctv7&公众号【医工学习日志】$订阅源
CCTV-7,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv7_1_td.m3u8$订阅源
CCTV-7,http://omnix.cn:4000/udp/225.1.8.7:8104$订阅源
CCTV-7,http://223.241.247.214:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-7,http://ms.fxim.net:808/hls/7/index.m3u8$订阅源
CCTV-7,http://124.116.183.146:9901/tsfile/live/0007_1.m3u8$订阅源
CCTV-7,http://120.238.94.10:9901/tsfile/live/1025_1.m3u8$订阅源
CCTV-8,http://zzssw01.55555.io:9901/tsfile/live/0008_1.m3u8$订阅源
CCTV-8,http://php.cqshushu.ggff.net/jzb.php?id=cctv8&公众号【医工学习日志】$订阅源
CCTV-8,http://111.43.126.240:9003/hls/21/index.m3u8$订阅源
CCTV-8,http://223.241.247.214:9901/tsfile/live/0008_1.m3u8$订阅源
CCTV-8,http://ms.fxim.net:808/hls/8/index.m3u8$订阅源
CCTV-8,http://183.237.95.108:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-8,http://124.116.183.146:9901/tsfile/live/0008_1.m3u8$订阅源
CCTV-8,http://120.238.94.10:9901/tsfile/live/1026_1.m3u8$订阅源
CCTV-9,http://zzssw01.55555.io:9901/tsfile/live/0009_1.m3u8$订阅源
CCTV-9,http://php.cqshushu.ggff.net/jzb.php?id=cctv9&公众号【医工学习日志】$订阅源
CCTV-9,http://111.43.126.240:9003/hls/22/index.m3u8$订阅源
CCTV-9,http://124.116.183.146:9901/tsfile/live/0009_1.m3u8?key=tvbox6_com&playlive=1&authid=0$订阅源
CCTV-9,http://120.238.94.10:9901/tsfile/live/1027_1.m3u8$订阅源
CCTV-9,http://58.19.43.46:9901/tsfile/live/1028_1.m3u8$订阅源
CCTV-9,http://116.9.204.242:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-9,http://qjrhc.jydjd.top:2911/udp/224.1.100.30:11111$订阅源
CCTV-10,http://php.cqshushu.ggff.net/jzb.php?id=cctv10&公众号【医工学习日志】$订阅源
CCTV-10,http://111.43.126.240:9003/hls/23/index.m3u8$订阅源
CCTV-10,http://223.241.247.214:9901/tsfile/live/0010_1.m3u8$订阅源
CCTV-10,http://ms.fxim.net:808/hls/10/index.m3u8$订阅源
CCTV-10,http://183.237.95.108:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-10,http://124.116.183.146:9901/tsfile/live/0010_1.m3u8$订阅源
CCTV-10,http://120.238.94.10:9901/tsfile/live/1028_1.m3u8$订阅源
CCTV-10,http://58.19.43.46:9901/tsfile/live/1029_1.m3u8$订阅源
CCTV-11,http://php.cqshushu.ggff.net/jzb.php?id=cctv11&公众号【医工学习日志】$订阅源
CCTV-11,http://223.241.247.214:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-11,http://ms.fxim.net:808/hls/11/index.m3u8$订阅源
CCTV-11,http://183.237.95.108:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-11,http://124.116.183.146:9901/tsfile/live/0011_1.m3u8?key=tvbox6_com&playlive=1&authid=0$订阅源
CCTV-11,http://120.238.94.10:9901/tsfile/live/1029_1.m3u8$订阅源
CCTV-11,http://58.19.43.46:9901/tsfile/live/1030_1.m3u8$订阅源
CCTV-11,http://116.9.204.242:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-12,http://php.cqshushu.ggff.net/jzb.php?id=cctv12&公众号【医工学习日志】$订阅源
CCTV-12,http://183.223.157.123:85/tsfile/live/0012_1.m3u8?key=txiptv$订阅源
CCTV-12,http://120.238.94.10:9901/tsfile/live/1030_1.m3u8$订阅源
CCTV-12,http://58.19.43.46:9901/tsfile/live/1031_1.m3u8$订阅源
CCTV-12,http://qjrhc.jydjd.top:2911/udp/224.1.100.77:11111$订阅源
CCTV-12,http://42.225.117.174:11199/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-12,http://58.221.214.82:9901/tsfile/live/0012_1.m3u8$订阅源
CCTV-12,http://112.46.105.20:8009/hls/507/index.m3u8$订阅源
CCTV-13,http://php.cqshushu.ggff.net/jzb.php?id=cctv13&公众号【医工学习日志】$订阅源
CCTV-13,http://223.241.247.214:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://183.215.134.239:19901/tsfile/live/0013_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0$订阅源
CCTV-13,http://8.138.7.223/【公众号：榴芒电视】/cctv13.m3u8$订阅源
CCTV-13,http://124.116.183.146:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV-13,http://58.19.43.46:9901/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-13,http://ak6668768.zicp.io:8812/live1013.m3u8$订阅源
CCTV-13,http://qjrhc.jydjd.top:2911/udp/224.1.100.70:11111$订阅源
CCTV-14,http://php.cqshushu.ggff.net/jzb.php?id=cctv14&公众号【医工学习日志】$订阅源
