🕘️更新时间,#genre#
2025-11-17 18:27:24,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv1&q=gq$订阅源

📺央视频道,#genre#
CCTV-1,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv1&q=gq$订阅源
CCTV-1,http://bxtv.3a.ink/migu.php?id=cctv1$订阅源
CCTV-2,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv2&q=gq$订阅源
CCTV-2,http://bxtv.3a.ink/migu.php?id=cctv2$订阅源
CCTV-3,http://bxtv.3a.ink/migu.php?id=cctv3$订阅源
CCTV-3,http://112.6.239.227:8207/hls/3/index.m3u8$订阅源
CCTV-4,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv4&q=gq$订阅源
CCTV-4,http://bxtv.3a.ink/migu.php?id=cctv4$订阅源
CCTV-4,http://112.6.239.227:8207/hls/4/index.m3u8$订阅源
CCTV-5,http://bxtv.3a.ink/migu.php?id=cctv5$订阅源
CCTV-5,http://112.6.239.227:8207/hls/5/index.m3u8$订阅源
CCTV-5+,http://bxtv.3a.ink/migu.php?id=cctv5p$订阅源
CCTV-5+,http://112.6.239.227:8207/hls/6/index.m3u8$订阅源
CCTV-6,http://bxtv.3a.ink/migu.php?id=cctv6$订阅源
CCTV-6,http://112.6.239.227:8207/hls/7/index.m3u8$订阅源
CCTV-7,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv7&q=gq$订阅源
CCTV-7,http://bxtv.3a.ink/migu.php?id=cctv7$订阅源
CCTV-7,http://112.6.239.227:8207/hls/8/index.m3u8$订阅源
CCTV-7,https://ldocctvwbcdtxy.liveplay.myqcloud.com/ldocctvwbcd/cdrmldcctv7_1_td.m3u8$订阅源
CCTV-7,http://omnix.cn:4000/udp/225.1.8.7:8104$订阅源
CCTV-8,http://bxtv.3a.ink/migu.php?id=cctv8$订阅源
CCTV-8,http://112.6.239.227:8207/hls/9/index.m3u8$订阅源
CCTV-8,http://116.128.242.83:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-9,http://106.53.99.30/php/cctv/cctvnews.php?id=cctv9&q=gq$订阅源
CCTV-9,http://bxtv.3a.ink/migu.php?id=cctv9$订阅源
CCTV-9,http://112.6.239.227:8207/hls/10/index.m3u8$订阅源
CCTV-9,http://111.221.137.155:44330/tsfile/live/0009_1.m3u8?key=txiptv$订阅源
